"","pb","bathy","chlomean","ppmean","odismean","salinity","tempmean","x","y","focal_rac_vect"
"507",0,-4775,0.325678467750549,254.796020507812,0.00715362280607224,35.6761932373047,15.2616624832153,-6.70833333333333,46.0416666666667,1.00645334659014
"508",0,-112,0.596893608570099,273.691925048828,0.00601735524833202,34.3516464233398,11.5260887145996,-5.29166666666667,53.125,1.01637705937787
"511",0,-29,0.447975397109985,281.535461425781,0.00415807217359543,34.1607246398926,10.7039833068848,6.875,56.7916666666667,0.725996338390955
"512",0,-27,0.732392966747284,279.451873779297,0.0140447122976184,34.6405181884766,10.1092338562012,-2.70833333333334,57.7083333333333,1.08383807728425
"515",0,-54,0.721761643886566,258.147857666016,0.00906573049724102,34.2510871887207,14.6197423934937,-2.79166666666667,46.875,0.918209260492416
"521",0,-84,0.243460282683372,264.229858398438,0.00161153799854219,35.1098518371582,13.0965051651001,-4.375,49.2083333333333,0.207153528939113
"523",0,-115,0.305233508348465,265.248077392578,0.00317617366090417,35.2227516174316,13.3223495483398,-7.45833333333333,49.7916666666667,0.934908683876498
"525",0,-111,0.640140891075134,281.893585205078,0.010610481724143,34.9642028808594,10.22509765625,2.45833333333333,59.875,0.726462018962651
"527",0,-114,0.291393965482712,260.742706298828,0.00313516240566969,35.3448219299316,13.7923889160156,-5.95833333333333,48.625,1.1694953363297
"528",0,-53,0.773584604263306,278.69384765625,0.0116180907934904,35.0657424926758,9.84642219543457,-2.875,58.7083333333333,0.940368170528415
"530",0,-280,0.553931772708893,289.236907958984,0.0101590715348721,31.7377071380615,10.3626070022583,6.375,57.875,1.06298690391737
"533",0,-94,0.251758843660355,266.13916015625,0.00210079038515687,35.0678558349609,13.2334489822388,-5.54166666666667,49.625,1.09318701968925
"536",0,-72,0.761391282081604,278.484497070312,0.0113148363307118,35.1467628479004,9.97217464447021,-2.875,59.5416666666667,1.23502077625905
"538",0,-90,0.743326246738434,270.822082519531,0.0134634729474783,35.2350997924805,11.7788381576538,-8.79166666666667,55.2083333333333,1.03669670536263
"540",0,-99,0.705649137496948,270.117462158203,0.0129493679851294,35.0622749328613,12.0619258880615,-10.375,53.375,0.550217240002802
"543",0,-78,0.470289051532745,278.802581787109,0.00471621006727219,34.7177734375,10.9121522903442,0.625,55.125,0.85243616123072
"547",0,-111,0.332319587469101,258.826965332031,0.00396203249692917,35.2837677001953,14.3481101989746,-4.79166666666667,47.4583333333333,1.02240150858824
"553",0,-5,0.853556513786316,275.719909667969,0.0174407605081797,34.2271690368652,11.2966985702515,-6.125,53.375,0.857973320554706
"554",0,-53,0.421329736709595,281.533172607422,0.0036204915959388,34.7272644042969,10.454158782959,5.125,56.7916666666667,0.824310281477208
"555",0,-111,0.422978103160858,278.857360839844,0.00465893652290106,34.9976234436035,10.6877403259277,1.20833333333333,56.2916666666667,1.03138685325417
"556",0,-62,0.220668911933899,267.456298828125,0.00132202077656984,34.8445091247559,12.8961629867554,-2.29166666666667,49.875,1.12251757822626
"558",0,-67,0.377993255853653,254.359817504883,0.00440357904881239,33.790771484375,16.0992164611816,-1.70833333333334,45.2083333333333,0.855575082227539
"564",0,-2558,0.213530540466309,250.429672241211,0.00377246388234198,35.489185333252,16.5155830383301,-2.95833333333334,44.7083333333333,1.03660890410445
"568",0,-4911,0.282762378454208,252.928070068359,0.00646204734221101,35.7352905273438,15.418083190918,-10.2916666666667,45.125,1.16932070630438
"569",0,-270,0.498593151569366,286.249847412109,0.00643761595711112,33.4878349304199,10.1850337982178,3.79166666666666,58.875,0.78555973657479
