"","X","pb","bathy","chlomean","ppmean","odismean","salinity","tempmean","x","y"
"1096",1309,0,1.02695201275167,-0.61932156608918,2.75463413686413,-0.757628683898859,-3.49564050212141,-1.27946737993132,17.5416666666667,57.0416666666667
"1097",1310,0,1.05715342974439,0.511350461588593,0.885518088762738,-0.00234052494899558,-0.221905513441757,-0.971587957549579,9.875,57.7916666666667
"1107",1320,0,1.07113556724103,1.55751497772616,0.578846278297159,1.18668644159884,0.108579261173049,-1.07970850276156,-1.79166666666667,55.625
"1108",1321,0,0.540373627868868,0.326966556267412,0.29142990325214,0.202647473798668,0.236408137378089,-0.787196786646258,-16.7916666666667,56.875
"1109",1322,0,1.0554755732448,1.09468942015896,0.387784355335112,0.52987934972154,0.0783326674355071,-0.562688168093339,2.125,51.7083333333333
"1110",1323,0,-1.33379208217971,0.167815313937571,-0.158392411445313,0.358665682998557,0.283488653298119,-0.00600592170885929,-13.0416666666667,46.375
"1113",1326,0,-1.40034705666368,0.250367095052093,-0.210257422986307,0.335645813276764,0.275094014416276,-0.070683460751943,-22.2083333333333,47.5416666666667
"1115",1328,0,0.869792787289522,1.36818470078337,0.967821528788506,1.00217062408998,0.213766472358714,-1.38727232918031,-11.875,63.9583333333333
"1120",1333,0,-0.610635930853893,0.334988814964177,0.504725606954851,0.0610896677411087,0.222352090143205,-0.88366889581872,-23.4583333333333,56.5416666666667
"1122",1335,0,0.618114312350143,1.10303483930019,0.955301119953011,0.603081765379872,0.217404992490979,-1.33714457860682,-6.875,62.9583333333333
"1123",1336,0,-0.572045231363188,0.359648559983224,0.60977116674747,0.0526341255168386,0.217937253172904,-0.971336065602947,-22.7916666666667,58.4583333333333
"1127",1340,0,-0.517794537876255,0.385873921204902,0.6743078785008,0.0649447862836755,0.210928079421178,-1.00552736880662,-24.2916666666667,57.7916666666667
"1129",1342,0,-0.0457575759899528,0.365398494204945,0.324106047578385,0.118174057622938,0.228248129719498,-0.831975697367937,-21.4583333333333,56.7916666666667
"1132",1345,0,1.03534129524965,1.23739641579369,0.856574419081161,1.32550937865876,-0.120408907543626,-1.22176428191803,5.29166666666666,60.7083333333333
"1133",1346,0,1.01185130425531,1.20844799397632,0.675455830917082,0.937374497012036,0.215486770629838,-1.0710261674966,1.45833333333333,60.2916666666667
"1134",1347,0,1.00346202175733,0.14915092215703,-0.0307304201066032,-0.0559666589822717,0.240652333458751,-0.159383471063611,-5.375,47.5416666666667
"1136",1349,0,0.987802027761098,0.965371304128881,0.317386848398897,0.894720008015919,0.239436517120076,-0.793977818105088,-8.95833333333334,58.0416666666667
"1137",1350,0,-0.95515579877091,-0.0272940942337189,-0.228988691975101,0.274577712005484,0.292353050675567,0.118230068715617,-13.2916666666667,44.7916666666667
"1145",1358,0,0.188583048453603,0.428012354661096,0.310086690332336,0.408349275354865,0.240370577571208,-0.862382982000194,-10.0416666666667,58.9583333333333
"1147",1360,0,-0.19564608995385,0.290430195886181,0.468877464346146,0.0437310501831911,0.221839671425192,-1.08927726374916,-16.375,61.7916666666667
"1148",1361,0,-0.140276825467186,0.398765865409101,0.408371154871879,0.13340226756912,0.224198384885167,-1.00850391286255,-16.2916666666667,59.9583333333333
"1149",1362,0,0.0135266869957676,0.302339291452689,0.57992812801956,0.0488740140030782,0.21617429467937,-1.15989368804144,-23.2083333333333,61.125
"1150",1363,0,-0.0250640124949372,0.719617401194382,0.920653067096608,0.391769965451656,0.207053935967464,-1.3772215063247,-1.29166666666667,63.2916666666667
"1152",1365,0,0.162296629959934,0.433577374506577,0.161889105769021,0.236690409028475,0.245984861259958,-0.618613610751917,-16.9583333333333,54.875
"1153",1366,0,0.999547023258269,0.263998110475974,0.0911480510293927,-0.0287219767005562,0.24454334258179,-0.299638619646359,-8.04166666666667,49.2083333333333
"1154",1367,0,-1.06253861474505,0.194779160093654,-0.2216554825616,0.304776779525082,0.271263027234069,-0.105137308049245,-24.0416666666667,47.625
"1159",1372,0,-0.789607290810785,0.336032637270634,0.445096321954338,0.0908031993398072,0.200171254735674,-0.908524114343707,-24.625,54.0416666666667
"1160",1373,0,1.00178416525773,0.917620713490967,0.65733158948337,0.578873307724012,0.216015062918981,-1.04730446273146,-0.291666666666668,58.625
"1161",1374,0,0.95312632676945,1.11779328131097,0.403951584620385,0.789701238521306,0.236421530703729,-0.946388110739399,-5.04166666666667,59.875
