"","pb","bathy","chlomean","ppmean","odismean","salinity","tempmean","x","y"
"1249",0,-0.0723229424190214,0.112459525424074,2.32131914520566,-0.503549234741666,0.22166848498449,-2.75590272052252,-19.375,68.9583333333333
"1250",0,-2.34952261384518,-1.15055112414467,-1.17626977246083,-0.50204503160554,0.448650175115715,1.53949098216486,-10.7083333333333,44.125
"1251",0,0.755573129142677,-0.590963513107139,-0.939845644950031,-0.477358629791369,0.402539217398199,1.14758028262491,-5.29166666666667,47.5416666666667
"1252",0,-0.0762067394709136,0.319324705346301,-0.19256176788011,0.210371779236373,0.39146594322618,-0.222034378695103,-1.70833333333334,61.9583333333333
"1253",0,0.867555944138904,1.62084154391499,2.47800902232557,0.355323928808491,-3.29913371152272,-0.599067613419356,27.625,59.7916666666667
"1254",0,0.837132867232415,-1.3348944244226,2.40781140184401,-1.13542517312839,-3.07656321018808,-0.833474015470889,20.0416666666667,60.7916666666667
"1255",0,-1.92101033911973,-0.336607294490376,-1.12226021475369,0.0676500477775808,0.444404650175464,1.37117307271477,-17.9583333333333,46.5416666666667
"1256",0,-0.0380160684606398,0.261919234000752,0.860320559818309,-0.0335233372883384,0.342484959128928,-1.03361628895407,-7.70833333333333,64.0416666666667
"1257",0,0.718677057149701,0.531340948276891,-0.0333710330180033,0.322398638934493,0.11451994519629,-0.218008383052019,4.54166666666666,61.2083333333333
"1258",0,-1.1112386538002,-0.179832041473964,0.227593906390372,-0.254007733381847,0.377382294742517,-0.756887061711758,7.875,69.7916666666667
"1259",0,-1.61289577300295,-0.78557369455036,-1.22164447503262,-0.120262146633908,0.459357478731109,1.66979019382734,-17.2916666666667,43.625
"1260",0,0.0111786941966621,-0.463089457843569,-0.471606568158281,-0.366165048411494,0.389493965955052,-0.168497856479438,-13.9583333333333,62.625
"1261",0,0.38337591166967,0.133607555165279,1.33374460044426,-0.172311533788417,0.317876104030131,-1.50475780046068,-10.0416666666667,65.2916666666667
"1262",0,-2.24854389049598,-0.625547523571244,-1.09618108118283,-0.0557467097272008,0.445528766047812,1.41328258439594,-12.2083333333333,45.7916666666667
"1264",0,-0.551971878327715,-0.206204141415776,-0.712057337039581,-0.077633024848681,0.407696559756833,0.395472888918898,-12.2916666666667,56.9583333333333
